cancer_type_abbr,r_id,gene,tool
COAD,250005818,HOXC13,e-driver
COAD,250005818,TRIM7,e-driver
COAD,250005818,CFH,e-driver
COAD,250005818,PLA2G6,e-driver
COAD,250005818,DENND5B,e-driver
COAD,250005818,LRRD1,e-driver
COAD,250005818,JARID2,e-driver
COAD,250005818,RBBP7,e-driver
COAD,250005818,GTF2IRD1,e-driver
COAD,250005818,HDAC6,e-driver
COAD,250005818,KRIT1,e-driver
COAD,250005818,GSX1,e-driver
COAD,250005818,LIPI,e-driver
COAD,250005818,NFASC,e-driver
COAD,250005818,HBS1L,e-driver
COAD,250005818,MMP14,e-driver
COAD,250005818,SYNC,e-driver
COAD,250005818,UBE3B,e-driver
COAD,250005818,TRPC3,e-driver
COAD,250005818,SMAD6,e-driver
COAD,250005818,NRP1,e-driver
COAD,250005818,TKTL2,e-driver
COAD,250005818,PODN,e-driver
COAD,250005818,EHD1,e-driver
COAD,250005818,AOAH,e-driver
COAD,250005818,EIF2AK1,e-driver
COAD,250005818,PRB1,e-driver
COAD,250005818,PRB2,e-driver
COAD,250005818,HMCN1,e-driver
COAD,250005818,IRF2,e-driver
COAD,250005818,SOX17,e-driver
COAD,250005818,BTRC,e-driver
