cancer_type_abbr,r_id,gene,tool
ESCA,250005860,PCDHA8,e-driver
ESCA,250005860,PCDHA7,e-driver
ESCA,250005860,PCDHA11,e-driver
ESCA,250005860,,e-driver
ESCA,250005860,PDZRN3,e-driver
ESCA,250005860,LRP1,e-driver
ESCA,250005860,NOTCH3,e-driver
ESCA,250005860,RIMBP2,e-driver
ESCA,250005860,NLGN1,e-driver
ESCA,250005860,STAB2,e-driver
ESCA,250005860,PCDHB13,e-driver
ESCA,250005860,PCDHB7,e-driver
ESCA,250005860,TNN,e-driver
ESCA,250005860,CPZ,e-driver
ESCA,250005860,FLT3,e-driver
ESCA,250005860,TOP2A,e-driver
ESCA,250005860,HMCN1,e-driver
ESCA,250005860,FREM1,e-driver
ESCA,250005860,CNTNAP5,e-driver
ESCA,250005860,ASPM,e-driver
ESCA,250005860,RP1,e-driver
ESCA,250005860,MPP5,e-driver
ESCA,250005860,MYOM2,e-driver
ESCA,250005860,CRYBG3,e-driver
ESCA,250005860,MKI67,e-driver
ESCA,250005860,KCND2,e-driver
ESCA,250005860,PLXNB1,e-driver
ESCA,250005860,WDR17,e-driver
ESCA,250005860,ABCB5,e-driver
ESCA,250005860,ERBB2,e-driver
ESCA,250005860,SI,e-driver
ESCA,250005860,CDH12,e-driver
ESCA,250005860,CSMD2,e-driver
ESCA,250005860,DNAH11,e-driver
ESCA,250005860,POTEE,e-driver
ESCA,250005860,ARAP2,e-driver
ESCA,250005860,PKHD1L1,e-driver
ESCA,250005860,CD1E,e-driver
ESCA,250005860,BRCA2,e-driver
ESCA,250005860,ANKRD30A,e-driver
ESCA,250005860,SYNE2,e-driver
ESCA,250005860,CAD,e-driver
ESCA,250005860,RYR2,e-driver
ESCA,250005860,PRDM9,e-driver
ESCA,250005860,PXDN,e-driver
ESCA,250005860,RIMS1,e-driver
ESCA,250005860,PLXNA4,e-driver
ESCA,250005860,WDFY3,e-driver
ESCA,250005860,TNXB,e-driver
ESCA,250005860,ROBO2,e-driver
ESCA,250005860,ZNF585B,e-driver
ESCA,250005860,HSPG2,e-driver
ESCA,250005860,DOCK3,e-driver
ESCA,250005860,CTR9,e-driver
ESCA,250005860,FBXW7,e-driver
ESCA,250005860,LRP5,e-driver
ESCA,250005860,COL21A1,e-driver
ESCA,250005860,KMT2B,e-driver
ESCA,250005860,TRPA1,e-driver
ESCA,250005860,SPTBN2,e-driver
ESCA,250005860,PKD1L1,e-driver
ESCA,250005860,EP300,e-driver
ESCA,250005860,ARHGAP23,e-driver
ESCA,250005860,ABCB1,e-driver
ESCA,250005860,PKD1,e-driver
ESCA,250005860,LAMA2,e-driver
ESCA,250005860,TDRD6,e-driver
ESCA,250005860,SYNE1,e-driver
ESCA,250005860,DIDO1,e-driver
ESCA,250005860,SMAD4,e-driver
ESCA,250005860,ZNF750,e-driver
ESCA,250005860,EPHA7,e-driver
ESCA,250005860,SMARCA4,e-driver
ESCA,250005860,TP53,e-driver
ESCA,250005860,FAT3,e-driver
ESCA,250005860,ADGRV1,e-driver
ESCA,250005860,ZFR2,e-driver
ESCA,250005860,LAMA5,e-driver
ESCA,250005860,FBN3,e-driver
ESCA,250005860,TTN,e-driver
ESCA,250005860,FBN2,e-driver
ESCA,250005860,CHD9,e-driver
ESCA,250005860,POTEH,e-driver
ESCA,250005860,COL4A6,e-driver
ESCA,250005860,NEB,e-driver
ESCA,250005860,ZNF43,e-driver
ESCA,250005860,ZNF208,e-driver
ESCA,250005860,SPTBN4,e-driver
ESCA,250005860,MGAM2,e-driver
ESCA,250005860,FAT2,e-driver
ESCA,250005860,ZNF676,e-driver
ESCA,250005860,PID1,e-driver
ESCA,250005860,MYO7A,e-driver
ESCA,250005860,ARHGAP28,e-driver
ESCA,250005860,ETAA1,e-driver
GBM,250005814,USH2A,e-driver
GBM,250005814,SLC26A5,e-driver
GBM,250005814,XPO1,e-driver
GBM,250005814,PLEC,e-driver
GBM,250005814,PLCL1,e-driver
GBM,250005814,PCSK6,e-driver
GBM,250005814,CRNN,e-driver
GBM,250005814,FLG,e-driver
GBM,250005814,ONECUT2,e-driver
GBM,250005814,NBEA,e-driver
GBM,250005814,FGFR2,e-driver
GBM,250005814,CACNA1B,e-driver
GBM,250005814,SRC,e-driver
GBM,250005814,TAS1R2,e-driver
GBM,250005814,SSPO,e-driver
GBM,250005814,CACNA1E,e-driver
GBM,250005814,MMP3,e-driver
GBM,250005814,SETD2,e-driver
GBM,250005814,MMP13,e-driver
GBM,250005814,XYLB,e-driver
GBM,250005814,SLFN13,e-driver
GBM,250005814,PCDH11X,e-driver
GBM,250005814,SASH1,e-driver
GBM,250005814,ZFHX3,e-driver
GBM,250005814,HNRNPDL,e-driver
GBM,250005814,NPR2,e-driver
GBM,250005814,TAF3,e-driver
GBM,250005814,CHD4,e-driver
GBM,250005814,NCOA3,e-driver
GBM,250005814,SDK1,e-driver
GBM,250005814,CDH23,e-driver
GBM,250005814,KNTC1,e-driver
GBM,250005814,CHRNA6,e-driver
GBM,250005814,HIP1R,e-driver
GBM,250005814,COL27A1,e-driver
GBM,250005814,SLC24A4,e-driver
GBM,250005814,NMT2,e-driver
GBM,250005814,ARHGEF25,e-driver
GBM,250005814,COL2A1,e-driver
GBM,250005814,LAMC2,e-driver
GBM,250005814,TLL2,e-driver
GBM,250005814,OSBPL10,e-driver
GBM,250005814,DGKG,e-driver
GBM,250005814,TONSL,e-driver
GBM,250005814,FAT1,e-driver
GBM,250005814,TRIML2,e-driver
GBM,250005814,SEC23IP,e-driver
GBM,250005814,SELE,e-driver
GBM,250005814,IGSF10,e-driver
GBM,250005814,PCDHGB1,e-driver
